Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,"0,000331307458628204","-1,13206745255336E-17","0,0146402475988973",0,0,0,"2,75822986493914","0,00701026423371661","4,12242135597593E-07","9,11222162788415E-21","0,00703854486847878","-2,96461531539005E-21","0,0138418301358928",0,0,0,0,0,0,package://dolly/meshes/base_link.STL,"0,792156862745098","0,819607843137255","0,933333333333333",1,0,0,0,0,0,0,package://dolly/meshes/base_link.STL,,plane-1;Motor_ASM-2/motor_flange-2;Motor_ASM-1/motor_flange-2;Motor_ASM-1/motor-3;Motor_ASM-2/motor-3,CS_BASE,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
left_wheel,"0,00259014166271363","-0,211",0,0,0,0,"0,21389788050971","7,9924596730356E-05","3,1451024225384E-24","-1,67685649879966E-22","0,000157056017019794","-1,32781947727186E-22","7,9924596730356E-05",0,0,0,0,0,0,package://dolly/meshes/left_wheel.STL,"0,792156862745098","0,819607843137255","0,933333333333333",1,0,0,0,0,0,0,package://dolly/meshes/left_wheel.STL,,Motor_ASM-2/wheel-1,CS_LEFT_WHEEL,AXIS_LEFT_WHEEL,left_wheel_to_base,continuous,"-0,00056881","0,1055","0,024488",0,0,0,base_link,0,-1,0,,,,,,,,,,,,
right_wheel,"-0,00259014166271363","0,211",0,0,0,0,"0,21389788050971","7,9924596730356E-05","9,39573778283674E-24","-8,41846427878367E-23","0,000157056017019794","-5,37667398159315E-24","7,9924596730356E-05",0,0,0,0,0,0,package://dolly/meshes/right_wheel.STL,"0,792156862745098","0,819607843137255","0,933333333333333",1,0,0,0,0,0,0,package://dolly/meshes/right_wheel.STL,,Motor_ASM-1/wheel-1,CS_RIGHT_WHEEL,AXIS_RIGHT_WHEEL,right_wheel_to_base,continuous,"0,0020213","-0,1055","0,024488",0,0,0,base_link,0,1,0,,,,,,,,,,,,
